Round,Result,Player Profile,Opponent Profile,Record,Location
166,9,NicoDays,NicoDays,GUSTAVOS,2-1-0,rc_sao_paulo_11_01_2025
168,2,PolarMar,PolarMar,Polukranos,2-1-0,rc_sao_paulo_11_01_2025
169,3,PolarMar,PolarMar,KassioStein,2-1-0,rc_sao_paulo_11_01_2025
170,4,PolarMar,PolarMar,madjeff,2-0-0,rc_sao_paulo_11_01_2025
171,5,PolarMar,PolarMar,gabrielstone,2-1-0,rc_sao_paulo_11_01_2025
172,6,PolarMar,PolarMar,JuanCerda,2-1-0,rc_sao_paulo_11_01_2025
174,8,PolarMar,PolarMar,Casatti,2-0-0,rc_sao_paulo_11_01_2025
175,9,PolarMar,PolarMar,perez,2-1-0,rc_sao_paulo_11_01_2025
176,1,VictorEsquici,VictorEsquici,Burghi,2-0-0,rc_sao_paulo_11_01_2025
177,2,VictorEsquici,VictorEsquici,icarobranco,2-1-0,rc_sao_paulo_11_01_2025
178,3,VictorEsquici,VictorEsquici,pururin,2-1-0,rc_sao_paulo_11_01_2025
179,4,VictorEsquici,VictorEsquici,Nbdf,2-0-0,rc_sao_paulo_11_01_2025
180,5,VictorEsquici,VictorEsquici,victormanuelobo,2-0-0,rc_sao_paulo_11_01_2025
181,6,VictorEsquici,VictorEsquici,IFLacerda,2-1-0,rc_sao_paulo_11_01_2025
185,1,FehRoss,FehRoss,Cfing,2-1-0,rc_sao_paulo_11_01_2025
186,2,FehRoss,FehRoss,dedeycastro,2-1-0,rc_sao_paulo_11_01_2025
187,3,FehRoss,FehRoss,Felcom,2-0-0,rc_sao_paulo_11_01_2025
188,4,FehRoss,FehRoss,DarkBone,2-1-0,rc_sao_paulo_11_01_2025
189,5,FehRoss,FehRoss,nv_goblin,2-0-0,rc_sao_paulo_11_01_2025
190,6,FehRoss,FehRoss,JohnJonis,2-1-0,rc_sao_paulo_11_01_2025
194,1,IFLacerda,IFLacerda,ScottyFischer,2-0-0,rc_sao_paulo_11_01_2025
195,2,IFLacerda,IFLacerda,Robsonsilveira,2-1-0,rc_sao_paulo_11_01_2025
196,3,IFLacerda,IFLacerda,patrick50,2-0-0,rc_sao_paulo_11_01_2025
197,4,IFLacerda,IFLacerda,arturcosta,2-0-0,rc_sao_paulo_11_01_2025
198,5,IFLacerda,IFLacerda,andresrib,2-0-0,rc_sao_paulo_11_01_2025
200,7,IFLacerda,IFLacerda,l1x0,2-0-0,rc_sao_paulo_11_01_2025
204,2,GabrielF,GabrielF,Feio,2-0-0,rc_sao_paulo_11_01_2025
205,3,GabrielF,GabrielF,emiliano_trepichio,2-1-0,rc_sao_paulo_11_01_2025
206,4,GabrielF,GabrielF,Rulo,2-1-0,rc_sao_paulo_11_01_2025
207,5,GabrielF,GabrielF,Carlitos,2-0-0,rc_sao_paulo_11_01_2025
208,6,GabrielF,GabrielF,Shadowfriend,2-1-0,rc_sao_paulo_11_01_2025
211,9,GabrielF,GabrielF,IvanQ,2-0-0,rc_sao_paulo_11_01_2025
212,1,Renatoaraujo,Renatoaraujo,caiogpo,2-0-0,rc_sao_paulo_11_01_2025
213,2,Renatoaraujo,Renatoaraujo,JAMERSON,2-0-0,rc_sao_paulo_11_01_2025
215,4,Renatoaraujo,Renatoaraujo,Laraia,2-1-0,rc_sao_paulo_11_01_2025
216,5,Renatoaraujo,Renatoaraujo,MTrulin,2-1-0,rc_sao_paulo_11_01_2025
219,8,Renatoaraujo,Renatoaraujo,frodo_jln,2-0-0,rc_sao_paulo_11_01_2025
